doc_eval_scale,dance_pres_sc,gender_sc,observers_sc,location_sc
2,2,1,1,1
1,2,2,2,1
1,1,1,1,1
2,1,2,1,1
2,2,1,2,2
2,1,1,1,1
1,2,1,1,2
2,2,2,1,1
2,2,2,2,1
0,2,1,1,1
2,2,1,1,2
1,2,2,2,1
1,2,1,1,1
1,1,1,1,1
1,2,2,1,2
0,2,1,1,2
2,2,1,1,2
0,1,2,2,2
0,2,1,1,2
2,2,2,2,1
1,1,2,2,2
1,1,1,1,1
2,2,1,1,1
0,1,1,1,1
2,2,1,1,2
0,2,1,2,1
2,1,2,1,2
2,2,2,1,2
2,2,1,2,1
2,2,2,1,1
2,0,1,1,2
2,2,1,1,2
2,2,1,1,1
2,2,2,2,1
2,1,2,2,2
2,2,1,1,1
1,2,2,2,2
2,1,1,1,1
1,2,1,1,1
2,1,1,2,1
1,2,1,1,1
2,2,1,1,1
N/A,2,1,2,1
N/A,2,1,1,2
N/A,2,1,1,2
N/A,2,1,1,2
N/A,1,1,1,2
N/A,2,1,2,2
N/A,2,2,1,2
N/A,2,2,1,2
N/A,1,2,2,2
2,2,1,1,1
2,2,1,1,1
2,2,1,1,1
2,2,2,1,1
2,2,2,2,2
2,2,1,1,2
2,2,1,1,1
N/A,2,2,1,2
2,2,1,2,1
2,2,1,1,2
2,2,0,1,2
2,2,0,0,1
2,2,1,2,2
2,2,1,1,2
2,2,1,1,2
1,2,1,1,1
1,2,2,2,1
1,1,1,1,1
2,1,2,2,2
2,2,2,1,1
2,2,1,1,1
2,2,2,2,2
2,2,1,1,1
2,2,1,1,1
2,1,1,1,1
2,1,2,2,2
2,2,1,1,1
2,2,1,1,1
1,2,2,2,1
1,2,1,1,2
2,2,1,1,1
2,1,2,2,2
2,2,1,1,2
2,1,1,1,2
2,1,1,1,2
2,1,1,1,1
2,2,2,1,2
2,1,1,1,1
2,2,2,2,1
2,2,2,2,1
2,2,2,1,1
2,2,1,1,1
2,2,2,2,1
2,2,2,1,0
2,2,1,1,1
2,2,2,1,1
2,2,2,1,1
2,2,2,2,1
2,2,1,1,2
2,1,1,1,2
2,2,2,1,1
2,2,2,1,2
2,2,1,1,1
2,2,1,1,2
2,2,1,1,2
2,2,1,1,1
2,2,1,1,2
2,2,2,2,1
2,1,1,1,1
2,1,2,2,2
0,2,1,1,2
0,2,1,1,1
0,2,1,1,2
2,1,1,1,1
2,2,0,1,1
2,2,1,1,1
2,2,1,1,2
2,2,2,2,1
2,2,1,1,2
1,2,2,1,2
1,2,1,1,2
1,2,2,2,2
1,1,2,2,2
1,2,1,1,1
1,2,2,2,1
2,2,1,1,1
2,2,2,1,1
2,2,1,1,1
2,2,1,1,1
2,2,1,1,1
2,2,1,1,2
2,2,1,1,2
2,1,1,1,1
2,2,2,2,1
2,2,2,2,2
2,2,1,1,2
2,2,2,2,2
2,2,1,1,2
2,1,2,2,2
2,2,2,2,2
2,2,1,1,1
2,2,2,1,1
2,2,1,1,1
1,2,2,2,2
2,2,2,2,2
2,1,1,2,1
2,2,1,2,2
2,2,1,1,2
2,1,0,1,1
0,2,2,1,2
2,1,2,1,1
2,1,1,1,2
2,2,2,1,1
2,1,1,1,1
2,2,2,1,1
2,2,2,1,1
2,1,2,2,2
2,2,2,1,1
2,2,2,0,1
2,2,2,1,1
2,0,1,1,1
2,2,2,1,1
2,0,1,1,1
2,2,2,1,1
2,0,1,1,1
2,2,2,1,1
2,0,1,1,1
2,2,1,0,1
2,1,1,1,1
2,1,1,1,1
2,1,1,1,1
2,1,1,1,1
2,2,2,2,1
2,2,1,2,1
2,2,1,1,2
2,2,1,1,2
2,2,1,1,1
1,0,1,1,1
1,2,2,2,1
1,2,1,1,1
N/A,2,1,1,2
N/A,2,2,2,1
N/A,2,2,1,1
N/A,2,2,1,1
N/A,2,1,1,1
N/A,2,1,1,2
N/A,1,1,2,2
N/A,2,2,1,1
N/A,2,2,1,2
2,2,1,1,2
1,2,1,1,2
1,2,1,1,1
1,2,2,1,1
1,2,2,1,1
2,2,2,2,1
2,2,2,2,2
2,2,2,2,0
2,2,2,2,2
2,2,2,1,0
2,2,1,1,2
2,2,2,2,2
2,2,2,2,2
2,1,2,2,2
2,2,2,2,2
1,2,2,2,2
2,2,1,1,1
1,1,2,2,2
1,1,1,2,2
1,1,1,2,2
2,1,2,2,2
2,1,2,2,2
2,1,2,2,2
2,1,1,1,1
2,2,1,1,0
2,1,2,2,2
2,1,2,2,2
2,1,1,0,1
2,2,2,2,2
2,2,1,1,2
2,1,2,2,2
2,1,1,1,1
2,0,2,2,2
2,1,1,1,1
2,1,2,2,2
1,1,1,1,2
2,2,0,1,2
2,1,2,2,2
2,2,2,1,2
2,2,1,1,1
2,2,1,1,2
2,2,1,1,2
2,2,1,1,2
2,2,2,2,1
2,2,2,1,2
2,0,1,1,1
2,2,1,1,2
2,1,2,2,1
2,1,2,2,2
2,2,2,2,1
2,2,1,2,1
2,2,1,1,2
2,2,1,2,1
1,2,1,1,2
1,2,1,1,1
1,2,2,1,2
2,2,2,2,1
